Name,Count,x,y,z,Energy,Energy/points
Heptylprot,9,37.862015999806665,-2.1776990275023893,5.937176466232235,-6.3,-0.33157894736842103
Hexylprot,1,37.6426401774833,-2.382551674247172,5.9779191764342725,-6.2,-0.34444444444444444
Hexylprot,2,37.862369098665425,-2.4478363688317355,5.7724327835249065,-6.2,-0.34444444444444444
Hexylprot,3,37.67014858575443,-2.343138287879639,5.9740494465908345,-6.1,-0.33888888888888885
Hexylprot,4,37.864698225664576,-2.556154755874329,5.801453454243997,-6.1,-0.33888888888888885
Hexylprot,5,37.24650422018106,-0.9095164924339967,4.578636178761252,-6.1,-0.33888888888888885
Hexylprot,6,37.178537298499606,-0.7833834373672851,4.7307125029023,-6.0,-0.3333333333333333
Hexylprot,7,38.74343322548121,-2.2977301816984017,6.30744349676337,-6.0,-0.3333333333333333
Hexylprot,8,38.9195824567762,-2.8224193287774906,6.770575160901159,-6.0,-0.3333333333333333
Hexylprot,9,39.39912548477737,-3.5507473770603606,9.826875341476065,-6.0,-0.3333333333333333
